amenity,brand,brand:wikidata,brand:wikipedia,name,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,branch,opening_hours,addr:suburb,operator,ref:linz:address_id,note,compressed_air,fuel:diesel,fuel:octane_91,fuel:octane_95,phone,website,source,wheelchair,fuel:electricity,fuel:lpg,fuel:octane_98,self_service,official_name,fuel:HGV_diesel,payment:cash,payment:girocard,payment:mastercard,payment:visa,shop,name:mi,nodes,landuse,layer,payment:credit_cards,building,height,diesel,fuel:GTL_diesel,fuel:cng,fuel:e10,fuel:e85,source:geometry,building:levels,roof:shape,toilets,atm,cafe,car_wash,check_date,payment:american_express,payment:visa_debit,service,contact:phone,fuel:adblue,fuel:octane_100,payment:debit_cards,smoking,operator:wikidata,start_date,ways,type
fuel,BP,Q152057,en:BP,BP Petrol Station Halswell Road,POINT (172.5709601 -43.5718258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.5347836 -43.5199871),Christchurch,NZ,2,8042,Russley Road,Russley,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.6212144 -43.4902606),Christchurch,NZ,500,8051,Cranford Street,Cranford Street,06:00-00:00,Redwood,Caltex,210842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil,POINT (172.7016575 -43.5176852),,,,,,,,,,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.6713352 -43.5327396),Christchurch,NZ,,8011,Linwood Avenue,Linwood,24/7,,Z Energy,,,yes,yes,yes,yes,+64 3 389 8115,http://z.co.nz/about-z/find-us/canterbury-and-christchurch/z-linwood/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.6164203 -43.4789024),Christchurch,NZ,315,8051,Main North Road,Redwood,24/7,Redwood,Caltex,210118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil Wigram,POINT (172.5464036 -43.5435011),,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP Fendalton,POINT (172.5898077 -43.5187113),Christchurch,NZ,1,,Memorial Avenue,,,,BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.6277422 -43.4517228),,,,,,Belfast,24/7,,Z Energy,,,,yes,yes,yes,+64 3 323 8715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.6043366 -43.5291401),Christchurch,NZ,64-66,8011,Riccarton Road,Riccarton,24/7,,Caltex,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil,POINT (172.6090734 -43.5292831),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.555971 -43.5117196),Christchurch,NZ,202,8042,Withells Road,Avonhead,"Mo-Fr 06:00-21:00; We 06:00-22:00; Sa,Su 07:00-21:00",Avonhead,Caltex,169291,,yes,yes,yes,yes,,,local_knowledge,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP Sawyers Arms Road,POINT (172.5928073 -43.4812281),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.5878824 -43.487676),Christchurch,NZ,318,,Harewood Road,Bishopdale,Mo-Su 06:00-24:00,Bishopdale,,188203,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.5930428 -43.4898107),Christchurch,NZ,210,,Harewood Road,Bishopdale,24/7,,,,,,yes,yes,yes,+64 3 359 4681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil,POINT (172.6082268 -43.4956428),Christchurch,NZ,23,8053,Main North Road,Papanui,,Papanui,,203389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP 2go,POINT (172.6097839 -43.499558),Christchurch,NZ,461,8053,Papanui Road,Papanui,05:30-22:00,Papanui,,1734691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP 2GO Mairehau,POINT (172.6423819 -43.4976706),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.6076296 -43.5105435),,NZ,52,,Strowan Road,Bryndwr,Mo-Su 06:00-23:00,,,,,,yes,yes,yes,+64 3 355 8902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Challenge,Q5068888,en:Challenge (company),Challenge Hills Road,POINT (172.6518684 -43.5183973),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Gull,Q111949119,en:Gull Petroleum,Gull,POINT (172.6561234 -43.5218711),Christchurch,NZ,261,8013,Stanmore Road,Stanmore,24/7,,,,,,yes,yes,yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP Dallington,POINT (172.67343 -43.5255398),Christchurch,NZ,712,,Gloucester Street,,,,BP,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,,,,Allied Wainoni,POINT (172.6921195 -43.5118722),Christchurch,NZ,175,8061,Wainoni Road,,Mo-Su 06:00-23:59,,,,,,,,,+64 3 388 4373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
